City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,toliara,-23.35,43.6667,18.88,85,10,5.27,MG,1689891211
83,atafu village,-8.5421,-172.5159,28.4,77,24,5.53,TK,1689890987
84,aykhal,66.0,111.5,14.42,88,100,6.35,RU,1689891212
85,concepcion,-36.827,-73.0498,12.89,100,100,8.23,CL,1689891212
86,sao jose de ribamar,-2.5619,-44.0542,28.21,80,17,4.17,BR,1689890964
87,walvis bay,-22.9575,14.5053,11.19,86,0,1.0,NA,1689891212
88,hawaiian paradise park,19.5933,-154.9731,26.13,82,100,3.6,US,1689890988
89,kerikeri,-35.2268,173.9474,11.62,96,19,1.05,NZ,1689891212
90,acapulco de juarez,16.8634,-99.8901,31.9,70,0,3.6,MX,1689891133
91,ndibene dahra,15.3338,-15.4766,27.18,64,100,2.87,SN,1689891213
92,jamestown,42.097,-79.2353,26.77,69,20,3.6,US,1689890913
93,sandnessjoen,66.0217,12.6316,13.29,88,75,1.03,NO,1689891213
94,qaqortoq,60.7167,-46.0333,7.78,98,100,1.21,GL,1689890989
95,monrovia,6.3005,-10.7969,24.87,90,100,5.04,LR,1689891041
96,wailua homesteads,22.0669,-159.378,29.44,68,40,7.72,US,1689890989
97,burabay,53.0838,70.3138,17.37,85,85,3.71,KZ,1689891214
98,madang,-5.2246,145.7966,25.94,84,69,1.33,PG,1689891214
99,utrik,11.2278,169.8474,28.51,79,65,8.68,MH,1689890989
100,nianzishan,47.5167,122.8833,18.97,59,100,1.52,CN,1689891214
101,polyarnyy,69.1989,33.4478,8.51,89,100,6.28,RU,1689890989
102,mount pearl,47.5166,-52.7813,27.19,72,40,7.72,CA,1689890713
103,kolonia town,6.964,158.206,26.06,94,100,2.57,FM,1689891214
104,aibak,36.2647,68.0155,24.95,32,0,2.27,AF,1689891215
105,mil'kovo,55.6078,37.7956,14.73,80,30,2.87,RU,1689891187
106,jalai nur,49.45,117.7,16.56,67,100,1.1,CN,1689891215
107,okhotsk,59.3833,143.3,15.53,80,36,2.35,RU,1689890990
108,hithadhoo,-0.6,73.0833,28.16,74,22,8.16,MV,1689890990
109,papatowai,-46.5619,169.4708,5.97,69,10,8.75,NZ,1689890990
110,fernie,49.5,-115.0687,31.38,19,7,1.88,CA,1689891216
111,sisimiut,66.9395,-53.6735,9.01,97,100,1.46,GL,1689891119
112,palasa,18.7667,84.4167,26.78,85,99,1.49,IN,1689891216
113,badger,64.8,-147.5333,19.44,86,100,1.54,US,1689890991
114,manasa,24.4837,75.2687,29.1,73,81,2.87,IN,1689891216
115,katsuura,35.1333,140.3,24.6,85,50,5.73,JP,1689891216
116,usinsk,65.9939,57.5281,17.2,84,52,3.52,RU,1689891217
117,rio grande,-32.035,-52.0986,15.06,96,100,3.98,BR,1689891217
118,pangoa,-12.1167,-73.0,23.22,83,93,0.55,PE,1689891217
119,lesnoy,57.6198,63.0784,13.58,96,77,2.88,RU,1689891217
120,susuman,62.7833,148.1667,22.93,51,9,2.4,RU,1689890991
121,jiangyou,31.7667,104.7167,23.09,90,96,0.93,CN,1689891217
122,batang,-6.4846,110.7083,23.53,78,4,4.98,ID,1689891217
123,jutai,-5.1833,-68.9,27.67,64,89,0.92,BR,1689891217
124,west island,-12.1568,96.8225,24.99,73,75,8.75,CC,1689890992
125,hamilton,39.1834,-84.5333,31.06,70,40,4.12,US,1689891088
126,fale old settlement,-9.3852,-171.2468,28.12,78,30,4.99,TK,1689890992
127,blackmans bay,-43.0167,147.3167,3.62,87,22,2.75,AU,1689890992
128,magistral'nyy,56.1725,107.4458,13.16,77,1,1.63,RU,1689891151
129,kalmunai,7.4167,81.8167,26.85,66,86,1.92,LK,1689891218
130,mala,-12.6581,-76.6308,21.0,74,11,3.18,PE,1689891218
131,sathupalli,17.2497,80.869,24.46,88,100,5.59,IN,1689891218
132,howrah,22.5892,88.3103,28.0,94,75,2.57,IN,1689890993
133,edinburgh of the seven seas,-37.0676,-12.3116,11.7,58,38,10.96,SH,1689890993
134,ndende,-2.4008,11.3581,21.81,78,99,1.5,GA,1689891219
135,aleksandrovsk-sakhalinskiy,50.8975,142.1561,17.97,96,68,3.07,RU,1689891219
136,aasiaat,68.7098,-52.8699,4.3,96,98,5.91,GL,1689890993
137,trairi,-3.2778,-39.2689,25.49,71,1,5.94,BR,1689890993
138,valentin gomez farias,28.2167,-106.5833,34.95,11,0,8.7,MX,1689891219
139,bilibino,68.0546,166.4372,18.27,56,71,1.38,RU,1689890993
140,nenjiang,49.1833,125.2167,19.05,76,71,1.02,CN,1689891219
141,talnakh,69.4865,88.3972,17.34,95,64,3.08,RU,1689890994
142,saldanha,-33.0117,17.9442,10.98,67,0,5.58,ZA,1689890994
143,gunupur,19.0833,83.8167,25.04,97,99,0.66,IN,1689891220
144,bovril,-31.3431,-59.4451,16.06,78,35,4.15,AR,1689891220
145,phatthalung,7.5,100.0833,24.88,88,100,1.98,TH,1689891220
146,iskateley,67.6803,53.1512,10.72,92,100,5.98,RU,1689890994
147,vung tau,10.346,107.0843,25.53,88,99,5.66,VN,1689891220
148,tiksi,71.6872,128.8694,7.23,64,44,6.99,RU,1689890994
149,bukoba,-1.3317,31.8122,20.99,63,33,1.9,TZ,1689891220
150,lihue,21.9789,-159.3672,29.77,68,40,7.72,US,1689890995
151,al bayda',32.7627,21.7551,22.27,72,0,1.53,LY,1689891221
152,invercargill,-46.4,168.35,3.98,78,6,3.7,NZ,1689890995
153,san antonio de pale,-1.4014,5.6325,23.73,79,49,4.81,GQ,1689890995
154,labrador city,52.9463,-66.9114,16.95,67,100,2.57,CA,1689891123
155,zaozersk,69.4005,32.4476,8.37,92,100,6.8,RU,1689890995
156,nar'yan-mar,67.6713,53.087,10.79,92,100,6.03,RU,1689890995
157,chul'man,56.8479,124.9104,10.52,93,93,1.4,RU,1689891221
158,thompson,55.7435,-97.8558,25.79,26,34,3.92,CA,1689890996
159,bloemfontein,-29.1211,26.214,6.71,76,40,3.6,ZA,1689891221
160,colonia,50.9333,6.95,18.25,80,0,5.14,DE,1689890994
161,smithers,54.7804,-127.1743,29.85,32,46,0.67,CA,1689890840
162,stanley,54.868,-1.6985,11.7,92,0,2.06,GB,1689890996
163,mogadishu,2.0371,45.3438,24.97,89,67,7.92,SO,1689891222
164,palpa,-14.5336,-75.1856,25.44,42,0,3.19,PE,1689891222
165,ust'-kut,56.7938,105.7672,14.18,76,0,0.64,RU,1689891222
166,veshenskaya,49.6303,41.7334,19.13,60,76,2.19,RU,1689891222
167,sao jose da coroa grande,-8.8978,-35.1478,24.35,73,13,6.26,BR,1689891222
168,mejit,10.2753,170.8646,28.3,82,93,8.56,MH,1689890996
169,mersa matruh,31.3525,27.2453,26.3,66,0,2.17,EG,1689891222
170,souillac,-20.5167,57.5167,18.21,94,20,1.54,MU,1689891125
171,ancud,-41.8697,-73.8203,10.68,89,59,8.43,CL,1689890747
172,karratha,-20.7377,116.8463,17.82,45,2,6.22,AU,1689890997
173,as sulayyil,20.4607,45.5779,35.69,9,93,2.14,SA,1689890997
174,iwanai,42.9744,140.5089,20.75,81,10,1.85,JP,1689891223
175,masterton,-40.9597,175.6575,10.49,66,95,5.03,NZ,1689891223
176,at-bashi,41.1702,75.8106,16.59,66,96,1.66,KG,1689891223
177,pointe-noire,-4.7761,11.8635,21.17,85,68,1.97,CG,1689891223
178,ebon,4.582,168.6964,27.6,82,97,6.46,MH,1689891223
179,gisborne,-38.6533,178.0042,12.57,89,100,8.1,NZ,1689891126
180,egilsstadir,65.2653,-14.3948,9.27,83,28,2.13,IS,1689890997
181,lebu,-37.6167,-73.65,12.33,94,100,7.13,CL,1689890998
182,hermanus,-34.4187,19.2345,8.22,79,0,3.93,ZA,1689890998
183,alta,69.9689,23.2717,9.59,87,100,4.63,NO,1689890998
184,kone,-21.0595,164.8658,20.39,61,6,2.27,NC,1689891224
185,shingu,33.7333,135.9833,24.9,84,100,1.8,JP,1689891224
186,vrangel',42.7297,133.0839,19.26,94,44,1.0,RU,1689891224
187,vodnyy,63.5046,53.4095,14.04,97,66,2.07,RU,1689891224
188,gorontalo,0.5412,123.0595,23.69,93,7,1.85,ID,1689890973
189,college,64.8569,-147.8028,19.49,88,100,1.54,US,1689890998
190,montepuez,-13.1256,38.9997,19.28,73,0,3.89,MZ,1689891225
191,corinto,37.9407,22.9573,29.94,38,3,1.34,GR,1689891225
192,san patricio,28.017,-97.5169,37.4,42,4,7.29,US,1689890999
193,jose pedro varela,-33.45,-54.5333,12.21,95,99,3.97,UY,1689891225
194,belyy yar,53.6039,91.3903,20.94,78,0,1.0,RU,1689890999
195,yellowknife,62.456,-114.3525,28.09,32,48,4.02,CA,1689890999
196,udachny,66.4167,112.4,16.8,56,81,0.31,RU,1689890999
197,selty,57.3132,52.1345,12.53,97,63,3.7,RU,1689891225
198,dompu,-8.5356,118.4622,20.67,96,5,0.74,ID,1689891225
199,zhangye,38.9342,100.4517,19.96,35,0,2.68,CN,1689891152
200,sheopur,25.6667,76.7,31.18,64,85,2.18,IN,1689891225
201,st. john's,47.5649,-52.7093,24.2,84,26,4.77,CA,1689890999
202,vila do maio,15.1333,-23.2167,27.44,80,51,2.78,CV,1689891127
203,saipan,15.1355,145.701,29.39,100,40,4.12,MP,1689891000
204,antsiranana,-12.2787,49.2917,24.2,79,100,5.46,MG,1689891128
205,kangding,30.0513,101.9603,14.14,96,100,1.44,CN,1689891226
206,avarua,-21.2078,-159.775,23.03,53,75,6.17,CK,1689891000
207,torbat-e heydariyeh,35.274,59.2195,21.93,36,0,3.82,IR,1689891226
208,mareeba,-17.0,145.4333,20.4,85,14,0.99,AU,1689891226
209,fisterra,42.9049,-9.2629,18.19,86,0,2.04,ES,1689891000
210,tolanaro,-25.0319,46.9987,19.73,85,22,2.66,MG,1689891001
211,haiku-pauwela,20.9219,-156.3051,29.01,67,40,9.77,US,1689891001
212,saint-die-des-vosges,48.2833,6.95,17.99,56,100,1.65,FR,1689891227
213,arvayheer,46.2639,102.775,13.0,79,4,1.77,MN,1689891227
214,east ballina,-28.8667,153.5833,14.33,54,0,4.1,AU,1689891227
215,sychevka,55.8252,34.2736,11.39,76,96,2.67,RU,1689891227
216,stornoway,58.2093,-6.3865,11.72,79,78,1.54,GB,1689890965
217,kogalym,62.2654,74.4791,19.27,60,100,3.47,RU,1689891227
218,hanover,52.3705,9.7332,14.4,87,53,0.28,DE,1689890996
219,touros,-5.1989,-35.4608,24.69,71,15,7.02,BR,1689890923
220,dampit,-8.2116,112.7493,18.16,93,27,1.66,ID,1689890967
221,praia,14.9215,-23.5087,27.3,74,40,2.06,CV,1689891129
222,sajir,25.1825,44.5996,33.09,10,55,5.46,SA,1689891228
223,ulladulla,-35.35,150.4667,11.21,69,27,3.14,AU,1689891228
224,colares,38.7992,-9.4469,19.94,81,20,7.6,PT,1689891228
225,saint-joseph,-21.3667,55.6167,20.21,72,12,1.73,RE,1689891003
226,penticton,49.4806,-119.5858,36.52,21,20,3.09,CA,1689891228
227,las khorey,11.1595,48.1967,33.03,50,99,6.45,SO,1689891228
228,alofi,-19.0595,-169.9187,24.21,74,84,11.2,NU,1689891228
229,bingol,38.8847,40.4939,21.89,19,0,1.65,TR,1689891229
230,lumphat,13.4878,106.9816,23.48,99,94,0.75,KH,1689891229
231,port lincoln,-34.7333,135.8667,11.24,66,47,2.89,AU,1689891004
232,mount isa,-20.7333,139.5,17.87,55,0,4.63,AU,1689891229
233,abepura,-2.6333,140.5833,25.45,83,20,0.0,ID,1689891229
234,norilsk,69.3535,88.2027,17.46,94,51,2.24,RU,1689891229
235,port saint john's,-31.6229,29.5448,12.82,65,88,2.8,ZA,1689891005
236,angra do heroismo,38.65,-27.2167,22.34,94,20,1.49,PT,1689891229
237,kamensk-shakhtinskiy,48.3178,40.2595,21.33,52,90,2.54,RU,1689891229
238,murun-kuren,49.6342,100.1625,11.67,89,17,1.42,MN,1689891230
239,hoa binh,20.8133,105.3383,24.86,97,100,0.84,VN,1689891230
240,piti village,13.4626,144.6933,29.61,78,0,3.6,GU,1689891230
241,weno,7.4515,151.8468,28.28,79,97,4.8,FM,1689891230
242,moranbah,-22.0016,148.0466,15.79,82,15,2.36,AU,1689891230
243,inverloch,-38.6333,145.7167,9.24,72,62,5.3,AU,1689891230
244,viedma,-40.8135,-62.9967,13.62,44,100,8.1,AR,1689891074
245,qui nhon,13.7667,109.2333,25.99,86,60,1.57,VN,1689891230
246,tannum sands,-23.9504,151.3693,14.86,77,100,2.06,AU,1689891231
247,gaspe,48.8334,-64.4819,15.95,66,61,1.05,CA,1689891056
248,manakara,-22.1333,48.0167,19.57,92,22,1.15,MG,1689891231
249,panacan,9.2463,118.4082,26.24,83,99,0.66,PH,1689891231
250,bondo,3.8146,23.6866,22.58,87,98,1.09,CD,1689891132
251,fort bragg,35.139,-79.006,31.75,65,75,3.09,US,1689891007
252,anna regina,7.2644,-58.5077,27.21,77,3,3.69,GY,1689891231
253,taseyevo,57.2169,94.8978,13.61,75,14,2.0,RU,1689891231
254,ouesso,1.6136,16.0517,24.02,73,87,0.95,CG,1689891231
255,big bend,-26.8167,31.9333,14.05,67,100,3.09,SZ,1689891231
256,vilyuchinsk,52.9306,158.4028,14.03,95,100,0.92,RU,1689891008
257,petropavlovsk-kamchatsky,53.0452,158.6483,13.21,100,75,1.0,RU,1689891008
258,byron bay,-28.65,153.6167,14.28,52,0,2.77,AU,1689891008
259,mount gambier,-37.8333,140.7667,8.36,77,98,1.45,AU,1689891008
260,ozd,48.2167,20.3,15.74,69,22,1.03,HU,1689891232
261,san luis,-33.295,-66.3356,13.5,43,73,1.95,AR,1689891232
262,sorsk,54.0033,90.2467,16.26,91,100,1.17,RU,1689891232
263,belomorsk,64.5232,34.7668,11.88,85,100,5.87,RU,1689891232
264,nova sintra,14.8667,-24.7167,23.87,80,23,2.41,CV,1689891009
265,kiama,-34.6833,150.8667,14.1,67,62,2.24,AU,1689891232
266,taoudenni,22.6783,-3.9836,38.79,8,3,2.44,ML,1689891133
267,voss,60.623,6.4229,12.52,93,100,0.57,NO,1689891233
268,fellsmere,27.7678,-80.6014,32.23,81,83,1.34,US,1689891233
269,shevchenko,48.5,35.0,18.38,93,100,1.68,UA,1689891233
270,margate,51.3813,1.3862,16.04,90,95,1.34,GB,1689891133
271,portland,45.5234,-122.6762,32.75,43,20,3.09,US,1689891134
272,gao,16.6362,1.637,31.75,48,63,4.07,ML,1689891233
273,tura,25.5198,90.2201,23.22,97,100,1.29,IN,1689891010
274,nikel,69.4128,30.222,9.1,94,100,7.67,RU,1689891010
275,zag,46.9441,99.165,12.67,59,8,0.73,MN,1689891233
276,kyaikto,17.3,97.0167,25.0,92,100,1.95,MM,1689891234
277,taro,-8.3862,115.28,18.0,86,44,0.84,ID,1689891134
278,crane,31.3974,-102.3501,37.95,17,100,7.97,US,1689891010
279,santana,-0.0583,-51.1817,26.1,89,75,4.63,BR,1689891010
280,enewetak,11.3474,162.3373,28.57,79,79,6.26,MH,1689891011
281,thal,35.4791,72.2439,19.94,89,79,0.72,PK,1689891234
282,klyuchi,52.2667,79.1667,19.73,61,31,3.18,RU,1689891011
283,karimganj,24.8667,92.35,25.51,97,100,0.61,IN,1689891234
284,buka,40.8108,69.1986,23.31,29,49,2.45,UZ,1689891011
285,porbandar,21.6422,69.6093,27.42,87,100,6.2,IN,1689891234
286,sason,38.3364,41.413,26.1,14,0,2.07,TR,1689891234
287,namibe,-15.1961,12.1522,18.46,77,88,1.86,AO,1689891235
288,nuku'alofa,-21.1333,-175.2,21.19,88,100,5.14,TO,1689891011
289,antalaha,-14.9003,50.2788,21.8,97,100,1.64,MG,1689891235
290,banjarmasin,-3.3244,114.591,23.08,95,33,1.57,ID,1689891187
291,tahe,52.3333,124.7333,15.84,59,43,1.24,CN,1689891235
292,oriximina,-1.7656,-55.8661,29.34,50,12,1.35,BR,1689891235
293,jinchang,38.4953,102.1739,20.03,47,0,1.85,CN,1689891235
294,krasnyy yar,46.5331,48.3456,22.96,34,17,3.81,RU,1689891235
295,prince rupert,54.3161,-130.3201,18.05,89,0,3.6,CA,1689891135
296,greenland,43.0362,-70.8328,27.81,67,20,5.14,US,1689891236
297,naze,28.3667,129.4833,26.51,82,100,3.42,JP,1689891236
298,guerrero negro,27.9769,-114.0611,25.04,60,14,8.35,MX,1689891012
299,carutapera,-1.195,-46.02,24.14,92,7,2.41,BR,1689891136
300,tual,-5.6667,132.75,26.39,79,12,7.72,ID,1689891013
301,christchurch,-43.5333,172.6333,6.9,80,65,2.06,NZ,1689890589
302,ciudad lazaro cardenas,17.9583,-102.2,31.42,66,83,5.68,MX,1689891013
303,kodiak,57.79,-152.4072,13.73,88,0,2.06,US,1689891013
304,gobabis,-22.45,18.9667,11.11,26,1,5.55,NA,1689891236
305,ceres,37.5949,-120.9577,41.0,24,0,3.6,US,1689891236
306,kuching,1.55,110.3333,26.12,95,20,1.54,MY,1689891236
307,lata,40.1629,-8.3327,14.48,98,6,1.2,PT,1689891237
308,mitu,1.1983,-70.1733,24.95,95,63,1.12,CO,1689891237
309,dauphin,51.1494,-100.0502,26.08,53,0,4.12,CA,1689891237
310,port shepstone,-30.7414,30.455,14.52,60,95,0.98,ZA,1689891237
311,acarau,-2.8856,-40.12,25.56,71,2,7.45,BR,1689891023
312,sorokyne,48.2923,39.7373,21.19,48,98,2.44,UA,1689891237
313,xai-xai,-25.0519,33.6442,18.5,69,98,7.46,MZ,1689891237
314,andergrove,-21.0833,149.1833,18.65,79,27,2.78,AU,1689891237
315,nova vicosa,-17.8919,-39.3719,22.57,85,99,7.15,BR,1689891014
316,richards bay,-28.783,32.0377,14.15,78,100,3.75,ZA,1689891014
317,lijiang,26.8688,100.2207,15.09,97,100,0.67,CN,1689891238
318,nacozari de garcia,30.3742,-109.6908,40.5,14,6,4.08,MX,1689891238
319,gohadi,26.4261,78.4447,33.81,52,75,0.84,IN,1689891238
320,ust-nera,64.5667,143.2,25.99,38,71,2.58,RU,1689891015
321,arawa,-6.2132,155.5367,27.42,84,67,1.49,PG,1689891238
322,igarka,67.4667,86.5833,16.09,97,100,5.33,RU,1689891015
323,wanning,18.8003,110.3967,27.07,90,99,2.74,CN,1689891238
324,vyaz'ma,55.2104,34.2951,12.87,70,100,2.08,RU,1689891238
325,barra de santo antonio,-9.4047,-35.5072,22.6,74,36,5.64,BR,1689891015
326,kiffa,16.6166,-11.4045,32.89,48,100,9.4,MR,1689891239
327,axim,4.8699,-2.2405,24.77,89,14,2.97,GH,1689891203
328,kudahuvadhoo,2.6708,72.8944,28.26,73,99,3.68,MV,1689891229
329,jefferson city,38.5767,-92.1735,33.61,50,0,5.36,US,1689891239
330,luganville,-15.5333,167.1667,25.31,80,71,4.59,VU,1689891239
331,yurga,55.7231,84.8861,15.09,96,67,2.34,RU,1689891239
332,melekeok village,7.4957,134.6367,27.31,89,100,4.63,PW,1689891239
333,inongo,-1.95,18.2667,22.8,56,6,2.43,CD,1689891239
334,nyurba,63.2842,118.3319,17.09,78,87,1.06,RU,1689891239
335,shanwei,22.782,115.3475,28.07,83,98,0.31,CN,1689891239
336,pisco,-13.7,-76.2167,21.03,68,0,8.23,PE,1689891016
337,harstad,68.799,16.5293,14.34,100,42,3.13,NO,1689891240
338,lokhvytsya,50.3678,33.2602,15.58,96,99,0.39,UA,1689891240
339,georgetown,5.4112,100.3354,27.96,83,20,2.57,MY,1689890933
340,banda aceh,5.5577,95.3222,26.76,75,97,6.29,ID,1689891240
341,urumqi,43.801,87.6005,23.53,57,0,3.0,CN,1689891240
342,pimentel,-6.8367,-79.9342,24.16,69,0,9.77,PE,1689891240
343,lazaro cardenas,17.9583,-102.2,31.42,66,83,5.68,MX,1689891013
344,kaoma,-14.7833,24.8,13.49,42,4,2.69,ZM,1689891240
345,biltine,14.5333,20.9167,29.64,48,92,4.03,TD,1689891241
346,ocotal,13.6321,-86.4752,30.26,53,20,4.0,NI,1689891241
347,la junta,37.985,-103.5438,33.16,35,0,10.29,US,1689891241
348,villaguay,-31.8653,-59.0269,13.82,84,5,3.7,AR,1689891241
349,ilek,51.5271,53.3831,16.71,61,50,3.42,RU,1689891241
350,gorno-altaysk,51.9561,85.955,14.91,95,52,2.54,RU,1689891241
351,akjoujt,19.6969,-14.4164,30.33,45,99,9.4,MR,1689891241
352,new norfolk,-42.7826,147.0587,4.84,96,45,1.31,AU,1689891241
353,oroqen zizhiqi,50.5667,123.7167,15.91,58,94,0.64,CN,1689891242
354,es castell,39.8795,4.2854,27.38,94,0,4.12,ES,1689891242
355,massawa,15.6097,39.45,35.86,46,98,2.26,ER,1689891242
356,sitka,57.0531,-135.33,16.94,72,75,1.54,US,1689891018
357,tralee,52.2704,-9.7026,11.5,88,28,2.93,IE,1689891018
358,mata-utu,-13.2816,-176.1745,27.93,80,99,4.61,WF,1689891018
359,northam,51.0333,-4.2167,15.34,73,56,4.04,GB,1689891140
360,westport,41.1415,-73.3579,29.05,62,0,2.06,US,1689891136
361,alaghsas,17.0187,8.0168,33.03,32,50,5.92,NE,1689891243
362,myaydo,19.3667,95.2167,24.79,95,100,3.38,MM,1689891243
363,tsiombe,-25.3,45.4833,18.9,82,22,4.46,MG,1689891019
364,zapala,-38.8992,-70.0544,10.11,50,73,10.49,AR,1689891243
365,port douglas,-16.4833,145.4667,21.42,78,27,1.87,AU,1689891243
366,lengshuitan,26.4111,111.5956,25.53,87,95,2.36,CN,1689891243
